Country Name,China,Japan,"Korea, Rep."
1960,6.529572582,8.766702196,6.304869684
1961,6.578584322,8.832809277,6.410053564
1962,6.556231438,8.885891668,6.496339695
1963,6.474128469,8.935971177,6.552094313
1964,6.345924438,8.995640201,6.56319951
1965,6.180308344,9.073503731,6.52744024
1966,6.331507316,9.227911414,6.515201292
1967,6.456994386,9.393963838,6.463873078
1968,6.558260982,9.572662648,6.394788305
1969,6.640759381,9.762390153,6.332608424
1970,6.71151096,9.962771962,6.288412775
1971,6.84409226,10.22218879,6.339670009
1972,6.96549575,10.48535084,6.392380287
1973,7.078790573,10.75713032,6.439001326
1974,7.184946894,11.04262028,6.472005262
1975,7.284007673,11.34415444,6.490146773
1976,7.425672543,11.71719661,6.538765227
1977,7.554590132,12.10293411,6.577076671
1978,7.671250434,12.49007802,6.606762101
1979,7.776098289,12.86058711,6.627318722
1980,7.870552948,13.20601987,6.639643938
1981,7.990805284,13.54735166,6.684048413
1982,8.095478082,13.86394739,6.713748956
1983,8.183496727,14.16977594,6.741013472
1984,8.252001821,14.48253329,6.78177287
1985,8.302769311,14.81511588,6.844727882
1986,8.36217903,15.19321375,6.975584631
1987,8.401861409,15.58096873,7.123800447
1988,8.437236795,15.99930544,7.277873254
1989,8.486171802,16.47857274,7.421240957
1990,8.559063345,17.03851402,7.548041693
1991,8.658999451,17.64016334,7.714582029
1992,8.767876723,18.3107059,7.869120686
1993,8.888037138,19.03811885,8.027005216
1994,9.019700914,19.80040971,8.20722934
1995,9.162149771,20.58447144,8.420627539
1996,9.338435065,21.4115547,8.674198122
1997,9.517346991,22.26052475,8.948605929
1998,9.689477183,23.12644871,9.248923176
1999,9.839252828,24.00350276,9.582429309
2000,9.958932541,24.89231674,9.953295665
2001,10.08020513,25.77872605,10.3784628
2002,10.17000569,26.67110207,10.8439482
2003,10.23938625,27.58389173,11.33066247
2004,10.30183178,28.53588736,11.80762581
2005,10.36869136,29.54451566,12.25731694
2006,10.46544009,30.50970184,12.72978393
2007,10.56765482,31.49572579,13.17748301
2008,10.68749544,32.54464858,13.62041319
2009,10.83554086,33.72246582,14.0898159
2010,11.02079887,35.07259865,14.60733862
2011,11.27822094,36.44918264,15.14861767
2012,11.5518607,37.97407106,15.71662927
2013,11.87584975,39.58559292,16.29779365
2014,12.29971303,41.17297266,16.89436154
2015,12.85122331,42.66073801,17.52937566
2016,13.57653384,43.95790317,18.23016405
2017,14.42481655,45.12521006,18.99591405
2018,15.33786422,46.17086258,19.85804794
