Year,Age 0-14,Age 15-64,Age 65+
1982,33.6,61.5,4.9
1987,28.7,65.9,5.4
1990,27.7,66.7,5.6
1991,27.7,66.3,6
1992,27.6,66.2,6.2
1993,27.2,66.7,6.2
1994,27,66.6,6.4
1995,26.6,67.2,6.2
1996,26.4,67.2,6.4
1997,26,67.5,6.5
1998,25.7,67.6,6.7
1999,25.4,67.7,6.9
2000,22.9,70.1,7
2001,22.5,70.4,7.1
2002,22.4,70.3,7.3
2003,22.1,70.4,7.5
2004,21.5,70.9,7.6
2005,20.3,72,7.7
2006,19.8,72.3,7.9
2007,19.4,72.5,8.1
2008,19,72.7,8.3
2009,18.5,73,8.5
2010,16.6,74.5,8.9
2011,16.5,74.4,9.1
2012,16.5,74.1,9.4
2013,16.4,73.9,9.7
2014,16.5,73.4,10.1
2015,16.5,73,10.5
2016,16.7,72.5,10.8
2017,16.8,71.8,11.4
