Year,China,World,Japan,"Korea, Rep."
1960,3.68850982,4.970155187,5.620797276,3.366463985
1961,3.711262684,5.01708986,5.729122653,3.393214032
1962,3.674322306,5.042706186,5.836693012,3.429453419
1963,3.59918311,5.052368798,5.945437541,3.463466798
1964,3.512369437,5.056798319,6.055339095,3.478335189
1965,3.423755397,5.057923676,6.167018677,3.468256263
1966,3.491269844,5.114633561,6.307824258,3.479104072
1967,3.565612273,5.168654297,6.452569105,3.465292522
1968,3.638762056,5.218232579,6.597987417,3.442620112
1969,3.700163434,5.263082171,6.739381852,3.43104445
1970,3.748026674,5.302022425,6.875373579,3.438967481
1971,3.816194221,5.368764198,7.045112371,3.500979583
1972,3.880813423,5.427475623,7.201981047,3.570457012
1973,3.943909378,5.479546742,7.354906821,3.641944813
1974,4.010496405,5.52970011,7.518473994,3.709031876
1975,4.084451962,5.579252262,7.701653146,3.769973092
1976,4.196869235,5.658576934,7.919895383,3.84508899
1977,4.311772036,5.736430572,8.166414742,3.921770536
1978,4.43022011,5.80688237,8.427951757,3.996314033
1979,4.55155677,5.860483748,8.680987016,4.062382244
1980,4.674332986,5.892897219,8.914241025,4.117679079
1981,4.825305937,5.927510699,9.170700295,4.199111094
1982,4.966104023,5.936210141,9.39703901,4.261623396
1983,5.096237737,5.931961628,9.612659838,4.318151594
1984,5.211865297,5.930180662,9.845470968,4.387998797
1985,5.309938539,5.938812145,10.11079171,4.481452761
1986,5.391277383,5.975814815,10.3982653,4.610109755
1987,5.451653045,6.016139923,10.71421764,4.767524593
1988,5.501441168,6.060530282,11.0632628,4.938785594
1989,5.557041477,6.109471933,11.44727827,5.098269999
1990,5.630162221,6.162030219,11.86842979,5.233009632
1991,5.693591469,6.23523368,12.30780362,5.40150749
1992,5.787342361,6.315191899,12.77794085,5.536986703
1993,5.900460919,6.393565929,13.2714228,5.659849814
1994,6.015432036,6.464970133,13.77967381,5.801322546
1995,6.124304325,6.526019457,14.2972111,5.978046442
1996,6.293066059,6.613724013,14.83198024,6.162028468
1997,6.430585931,6.683696869,15.3692625,6.383672943
1998,6.551032096,6.744326553,15.90786988,6.636021332
1999,6.675355358,6.806272247,16.44601377,6.905559626
2000,6.811852767,6.874358615,16.98444563,7.186195743
2001,6.939788413,6.958465818,17.50725223,7.511592198
2002,7.082209214,7.045763019,18.03048168,7.848069899
2003,7.230886596,7.13068677,18.55893264,8.189427146
2004,7.366721673,7.202567577,19.09753109,8.529132837
2005,7.482470721,7.257780423,19.65235198,8.863198969
2006,7.605610008,7.327741983,20.17768365,9.222378083
2007,7.712841635,7.383531932,20.6976125,9.57052755
2008,7.815723851,7.434785271,21.23589741,9.921729
2009,7.932236318,7.493326066,21.82910874,10.29266126
2010,8.074453236,7.567230731,22.49807112,10.69331515
2011,8.259153941,7.667966575,23.1582519,11.10133441
2012,8.45330833,7.780943294,23.87793593,11.52864629
2013,8.678981377,7.908295001,24.62559891,11.96329769
2014,8.966397405,8.054698203,25.34970977,12.40276742
2015,9.331830172,8.222938381,26.01933226,12.859361
2016,9.802631139,8.426887459,26.59181651,13.33794019
2017,10.34512046,8.645841534,27.10947942,13.85224776
2018,10.92088354,8.873442244,27.57636991,14.41855583
